,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
74,12,5004,virginia,0,1.106688309s,2018-08-28 19:00:03.943507+00:00,virginia,server,78,5,alia-virginia-78,306,2018-08-28 19:00:02.836819+00:00,4521.598321140303,0.4
75,4,2000,virginia,0,855.919855ms,2018-08-28 16:42:47.198428+00:00,virginia,server,78,5,alia-virginia-78,214,2018-08-28 16:42:46.342509+00:00,2336.6673740732417,0.4
76,15,5010,virginia,0,950.758814ms,2018-08-28 20:04:30.907494+00:00,virginia,server,78,3,alia-virginia-78,351,2018-08-28 20:04:29.956736+00:00,5269.475208882996,0.4
77,34,5032,virginia,0,602.350346ms,2018-08-28 16:29:56.604841+00:00,virginia,server,78,3,alia-virginia-78,202,2018-08-28 16:29:56.002490+00:00,8353.942242111701,0.4
78,11,5005,virginia,0,835.871709ms,2018-08-28 20:00:13.386216+00:00,virginia,server,78,3,alia-virginia-78,347,2018-08-28 20:00:12.550345+00:00,5987.760975889184,0.4
79,25,5025,virginia,0,617.126161ms,2018-08-28 16:20:19.863692+00:00,virginia,server,78,3,alia-virginia-78,193,2018-08-28 16:20:19.246566+00:00,8142.581399980547,0.4
80,3,1500,virginia,0,1.662685826s,2018-08-28 18:05:23.897167+00:00,virginia,server,78,3,alia-virginia-78,255,2018-08-28 18:05:22.234482+00:00,902.1548007109792,0.4
81,16,5008,virginia,0,890.905334ms,2018-08-28 19:04:20.698010+00:00,virginia,server,78,5,alia-virginia-78,310,2018-08-28 19:04:19.807104+00:00,5621.248194255395,0.4
82,23,5014,virginia,0,571.358289ms,2018-08-27 18:07:52.219315+00:00,virginia,server,78,3,alia-virginia-78,107,2018-08-27 18:07:51.647957+00:00,8775.579345799953,0.4
83,34,5032,virginia,0,824.972875ms,2018-08-28 21:09:49.582797+00:00,virginia,server,78,5,alia-virginia-78,412,2018-08-28 21:09:48.757824+00:00,6099.594486667213,0.4
84,6,3000,virginia,0,799.259427ms,2018-08-28 20:39:53.053127+00:00,virginia,server,78,5,alia-virginia-78,384,2018-08-28 20:39:52.253868+00:00,3753.474652479764,0.4
85,29,5017,virginia,0,698.179999ms,2018-08-27 17:21:18.679626+00:00,virginia,server,78,5,alia-virginia-78,71,2018-08-27 17:21:17.981446+00:00,7185.826015047446,0.4
